,Activation Function,nLayer,nHiddenNeuron,N Iteration,Loss,RMSE,RelErr,Pearson Corr,Time Elapsed
31,tanh,7,2,24,1.3945093634257997e-05,0.0036430143973943787,1.0010708774372012,0.004012399663118753,0.9151921272277832
32,tanh,7,3,18,2.539776163337844e-05,0.005739506609594879,2.48480420206492,-0.008476913051737393,0.7267649173736572
33,tanh,7,4,16,2.9281798551716197e-05,0.005926051442462416,2.6489507656916276,-0.00585327113571261,0.6644420623779297
34,tanh,7,5,14,6.099131081529496e-05,0.00963236221806624,6.9985595645611935,-0.03373890242789977,0.5993940830230713
35,tanh,8,1,33,9.88947509361583e-06,0.0036489594094617026,1.0043408257850435,-0.01057554988387763,1.3695709705352783
36,tanh,8,2,25,1.473203005991022e-05,0.003643054652363469,1.0010930010389647,-0.0033870896048081808,1.0773391723632812
37,tanh,8,3,16,3.5704296387533415e-05,0.007264505433613429,3.980660671051284,-0.0017202880340758586,0.7159988880157471
38,tanh,8,4,13,1.8991949312949303e-05,0.0038691050338338488,1.1291823763306688,0.015680346544121773,0.6000161170959473
39,tanh,8,5,13,2.214107158732476e-05,0.004160023469219066,1.3053729639471563,0.012910968277490902,0.6200640201568604
40,tanh,9,1,46,1.1248656480785592e-05,0.003877439828144441,1.1340525671652772,4.9390014171040164e-17,2.170226812362671
41,tanh,9,2,14,1.3454110758168122e-05,0.003712849166804615,1.0398187998080002,-0.02503101433390643,0.7028059959411621
42,tanh,9,3,13,1.860341790145712e-05,0.004165962606697626,1.3091029062229935,-0.004978837711126547,0.680717945098877
43,tanh,9,4,14,2.441393746573934e-05,0.004756013649049041,1.7061972464549753,-0.015703632020715876,0.743257999420166
44,tanh,9,5,14,3.808952963299326e-05,0.006384248934822572,3.0744163247499823,-0.025315052544239755,0.8255839347839355
45,tanh,10,1,27,9.581872667548711e-06,0.0036411324054397027,1.0000368322811468,-0.005085365325857063,1.3941659927368164
46,tanh,10,2,22,1.5202257846037396e-05,0.0036432714102558853,1.0012121325289949,-0.004384215410390555,1.1367177963256836
47,tanh,10,3,16,1.7943336857505073e-05,0.003739974563834671,1.0550677520905698,-0.00234745498329262,0.9432430267333984
48,tanh,10,4,13,2.1661137423624406e-05,0.0038675434697694328,1.1282710881774038,0.005396390180000477,0.765380859375
49,tanh,10,5,13,2.3908533991342727e-05,0.0038550432401552024,1.1209895381782125,-0.013800053783062998,0.853248119354248
50,identity,1,1,72,0.0004023562959615717,0.02748338352385763,56.97488389938938,0.012254446272392722,0.7484769821166992
51,identity,1,2,47,1.2053245586422571e-05,0.0041739135643437545,1.3141046575323878,0.02145957659965762,0.6266868114471436
52,identity,1,3,55,5.310892983971758e-05,0.009392368174997865,6.654160450816712,0.019642257401064445,0.8850879669189453
53,identity,1,4,60,0.00019609285923709552,0.019092270318356818,27.49528347086307,-0.01923793627018665,0.6776540279388428
54,identity,1,5,32,1.623997881159929e-05,0.004764079515798894,1.7119893363504641,-0.015517254495953339,0.3555922508239746
55,identity,2,1,55,0.0009888157251516524,0.04357902177905997,143.25111364397992,0.01682013190400912,0.7955789566040039
56,identity,2,2,28,9.312124712837905e-05,0.012795966456929694,12.350633603714503,-0.017126881032037678,0.4056968688964844
57,identity,2,3,42,0.0003297641272305473,0.02508251610752325,47.455357750060536,0.008345586502897856,0.6200928688049316
58,identity,2,4,24,1.3878938840899923e-05,0.004200773588455775,1.3310721647536405,0.021941586905117192,0.359328031539917
59,identity,2,5,25,1.2844069403006787e-05,0.003976992359690231,1.1930332987192447,0.0008435945585149368,0.3796119689941406
60,identity,3,1,65,0.0020767465776061595,0.063340590669776,302.62671949599513,0.011636407876295158,1.1708288192749023
61,identity,3,2,68,0.00010079260790321088,0.012987207063602135,12.722562170243114,0.012943753364124466,1.2323992252349854
62,identity,3,3,26,2.3123195983985787e-05,0.005720556881281235,2.468423479170821,-0.0033481172981996263,0.48682117462158203
63,identity,3,4,26,1.5228930961662495e-05,0.0042709354765205826,1.375906976687202,0.0301209924620865,0.49064087867736816
64,identity,3,5,21,1.2884480442733863e-05,0.0036853383975029466,1.0244665819458476,0.024134115245748596,0.4049689769744873
65,identity,4,1,43,0.0005163061842596386,0.031286879117659115,73.83589448919332,-0.02095576632675394,0.949023962020874
66,identity,4,2,79,3.890439580739785e-05,0.007701332323780454,4.473781616497851,0.016715939548228625,1.7322640419006348
67,identity,4,3,20,1.758613021401248e-05,0.004807836764799529,1.7435824153791768,0.004749664068338704,0.45749878883361816
68,identity,4,4,24,0.00020373269376643697,0.019461402657638537,28.568755928908917,-0.020862647775623702,0.5632009506225586
69,identity,4,5,17,1.4691708465707778e-05,0.0036488743343857364,1.0042939941454452,0.02356571343654869,0.40001511573791504
70,identity,5,1,24,2.2008036666074582e-05,0.006109808426063617,2.8157768775601304,0.00428337931345165,0.6299712657928467
71,identity,5,2,95,7.612322786519644e-05,0.01111986758261784,9.327006584494178,0.015792582153318076,2.465188980102539
72,identity,5,3,23,6.0225838719752734e-05,0.01003049249415171,7.589052664887293,-0.01527220255459367,0.620131254196167
73,identity,5,4,22,3.48249570886357e-05,0.007084000432934726,3.7852991761738046,-0.027633792353070414,0.599419116973877
74,identity,5,5,14,1.605508999117267e-05,0.003641573800518323,1.0002793052494576,0.022997423411718138,0.3925743103027344
75,identity,6,1,22,1.0627416169684314e-05,0.00392470491257681,1.161868747482183,0.0009288951366000441,0.6629371643066406
76,identity,6,2,30,0.0003300989194117966,0.02515701904030189,47.73769100393036,-0.013793849790131868,0.8958592414855957
77,identity,6,3,17,3.29896013065809e-05,0.006984054247908653,3.6792412034422557,-0.00810949991012367,0.5275709629058838
78,identity,6,4,17,4.449305794530455e-05,0.007836316725813258,4.631983608231735,0.02975148959228062,0.5388510227203369
79,identity,6,5,28,2.041020838744303e-05,0.004292673854459371,1.3899489141282708,0.022098287204252824,0.8974761962890625
80,identity,7,1,57,0.0005471887141156903,0.032048901594298324,77.47638549048092,0.01990741370825533,1.9931821823120117
81,identity,7,2,19,2.4521893050438956e-05,0.006037290490324755,2.749332069172412,0.007380400083542811,0.68025803565979
82,identity,7,3,32,6.159472559681137e-05,0.0097886812996406,7.227555412669656,-0.0006267572345953393,1.1506550312042236
83,identity,7,4,20,7.030461454579181e-05,0.010249487891134435,7.924053252890621,0.017354249456565697,0.7379031181335449
84,identity,7,5,19,1.8991293689616244e-05,0.003643344755847035,1.001252445328477,0.020247885202576508,0.691957950592041
85,identity,8,1,13,1.3093329660569149e-05,0.004381990181561568,1.4483911161950123,0.002971386989054234,0.49676084518432617
86,identity,8,2,31,0.0001583693930096999,0.016746190735644827,21.153153405347652,-0.01782909573309,1.1958191394805908
87,identity,8,3,28,0.00010413024813944289,0.01340512822366908,13.554546665137934,-0.0007531748331390918,1.1034491062164307
88,identity,8,4,15,4.054245667427584e-05,0.00716841531694473,3.8760499971628506,0.02727013528591702,0.602144718170166
89,identity,8,5,13,2.2415528284791507e-05,0.004150459422050225,1.2993776625461322,0.010846746793550893,0.5310821533203125
90,identity,9,1,23,0.0004980504354713405,0.030612930023825043,70.68916466898591,0.019688186250589615,0.9616208076477051
91,identity,9,2,15,2.8034535430327486e-05,0.0063424797660213035,3.034318974758289,0.014295843953899275,0.631915807723999
92,identity,9,3,22,0.00013868508415764964,0.015672787230228257,18.528298023875085,0.010387289590913208,0.9563660621643066
93,identity,9,4,17,7.302726128463609e-05,0.010655195029977828,8.563787037186168,-0.033523132054101935,0.7499890327453613
94,identity,9,5,16,2.9853997574635697e-05,0.00514070237021854,1.9933702523046382,-0.01148998386470291,0.7205770015716553
95,identity,10,1,25,2.6264594259764706e-05,0.006454527169901203,3.142475631921021,0.01709544068533754,1.1633589267730713
96,identity,10,2,25,0.00017484157094913724,0.017786227676640832,23.862214577532338,-0.0027181177246452855,1.1454179286956787
97,identity,10,3,16,4.3628969874667885e-05,0.00786890044698096,4.670583641502321,0.0165237890694592,0.7592010498046875
98,identity,10,4,17,0.0003116340011416958,0.0230340120934713,40.02047446670248,0.023726332413627163,0.8179099559783936
99,identity,10,5,14,3.208195093028128e-05,0.005536610825825413,2.3122300831802995,-0.0023434569239760795,0.689600944519043
100,relu,1,1,46,1.3798457026930433e-05,0.004599695146764701,1.5958833733107451,0.015897833819768607,0.4930429458618164
101,relu,1,2,67,6.966322664532263e-05,0.010717053275305213,8.66350900962096,0.01702095881987234,0.7359671592712402
102,relu,1,3,56,0.00016128626677214413,0.01731562093542924,22.616176870593055,-0.0038706271215912156,0.6288440227508545
103,relu,1,4,44,0.00041319164240748445,0.028510559585089596,61.31327792392657,0.013010902935217897,0.5176100730895996
104,relu,1,5,47,0.0010276885262755116,0.04477625485924071,151.23021994968863,-0.028998777942077274,0.5491480827331543
105,relu,2,1,66,2.351494161275985e-05,0.00622386478778277,2.921886557228531,-0.001156295939363424,0.9935197830200195
106,relu,2,2,23,0.00021326299035801994,0.02040997393640969,31.421575158339405,0.005459690701934808,0.3605160713195801
107,relu,2,3,46,0.0001369884897606549,0.015757435102648206,18.72897916048369,0.011475467301158865,0.731698751449585
108,relu,2,4,19,7.280204658981985e-05,0.01169850288652376,10.322945279920233,0.006885512068352417,0.3108539581298828
109,relu,2,5,29,0.0002023260417308429,0.019263622198392623,27.99103495022113,-0.02394330171550044,0.48169708251953125
110,relu,3,1,77,2.7781005223586687e-05,0.006820769465960505,3.509213523885711,-0.005867245503374081,1.4916579723358154
111,relu,3,2,44,0.00033736531355929106,0.023899845084794813,43.085707022188615,0.0029262116942070184,0.8674838542938232
112,relu,3,3,29,4.2339724712165186e-05,0.009907248110032664,7.403705421020831,-0.011193398988633746,0.594862699508667
113,relu,3,4,24,0.00015002745579289025,0.01635910918485351,20.186561728447664,0.022315922333148067,0.5049619674682617
114,relu,3,5,31,0.00015274435702339643,0.01625688505712429,19.93506804175338,-0.012520836015118783,0.6623091697692871
115,relu,4,1,24,9.906588590477526e-06,0.003677878597414275,1.0203233634124997,0.003416300485621112,0.570854902267456
